City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,56.32,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Lebu,CL,53.08,few clouds,-37.6167,-73.65,Hostal Las Lilas
15,Talara,PE,65.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
20,Cidreira,BR,65.32,clear sky,-30.1811,-50.2056,Hotel Castelo
25,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
31,Rikitea,PF,73.96,scattered clouds,-23.1203,-134.9692,People ThankYou
34,Iwakuni,JP,60.31,broken clouds,34.15,132.1833,Iwakuni Kokusai Kanko Hotel
48,New Norfolk,AU,64.89,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Bundi,IN,65.98,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
51,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
57,Codrington,AU,60.48,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
59,Hualmay,PE,65.05,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
62,Castro,BR,55.51,few clouds,-24.7911,-50.0119,CHACARA BAILLY
63,Bataipora,BR,71.1,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
66,Mataura,NZ,61.14,light rain,-46.1927,168.8643,Ellie's Villa
67,Omboue,GA,74.16,moderate rain,-1.5746,9.2618,Hotel Olako
70,Caravelas,BR,73.92,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
71,Muros,ES,56.23,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
74,Salvador,SV,72.0,broken clouds,13.8333,-88.9167,Chico's Ranch
79,Hobart,AU,64.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
81,Cantagallo,CO,73.92,scattered clouds,7.376,-73.9196,Apartahotel Altamira
84,Ambilobe,MG,71.13,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
88,Bosaso,SO,74.25,scattered clouds,11.2842,49.1816,Red Sea Hotel
89,Havelock,US,53.55,broken clouds,34.8791,-76.9013,Sherwood Motel
90,Coihaique,CL,53.55,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
91,Taltal,CL,63.14,scattered clouds,-25.4,-70.4833,Residencial Karime
92,Rawson,AR,69.37,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
94,Porto Belo,BR,69.75,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
101,Nicoya,CR,72.95,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
102,Chuy,UY,61.43,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
104,Cassia,BR,68.85,overcast clouds,-20.5831,-46.9219,Lauriano
105,Camargo,MX,67.32,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
106,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
113,Hambantota,LK,70.14,clear sky,6.1241,81.1185,Bungalow 63
119,Tianpeng,CN,54.07,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
120,Lompoc,US,69.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
124,Barbosa,CO,62.62,overcast clouds,5.9317,-73.6151,HOTEL EMPERADOR
127,Cedartown,US,50.2,broken clouds,34.0537,-85.255,Quality Inn
128,Nelson Bay,AU,67.08,light rain,-32.7167,152.15,Mantra Nelson Bay
129,Jand,PK,57.42,clear sky,33.4299,72.0193,Mohalla Takia
131,Fortuna,US,54.09,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
134,Ribeira Grande,PT,64.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
135,Hermanus,ZA,62.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
136,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,El Medina
137,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
138,Leopold,AU,65.98,overcast clouds,-38.1833,144.4667,Avila Vista
140,Port Alfred,ZA,63.75,overcast clouds,-33.5906,26.891,The Halyards Hotel
141,Shimoda,JP,62.71,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
143,Puerto Madryn,AR,70.74,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
144,San Gabriel,US,68.27,haze,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
147,Mount Gambier,AU,64.31,scattered clouds,-37.8333,140.7667,The Commodore
148,Carnarvon,AU,69.87,light rain,-24.8667,113.6333,Hospitality Carnarvon
152,Necochea,AR,66.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
155,Eloy,US,72.54,overcast clouds,32.7559,-111.5548,Eloy RV & Mobile Home Park
161,Dyersburg,US,53.74,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
162,Vao,NC,73.26,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Paraiso,CR,65.95,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
168,Ponta Delgada,PT,66.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
169,Sinfra,CI,74.57,scattered clouds,6.6167,-5.9167,Hote Ivoire Sinfra
177,Lakhimpur,IN,62.44,clear sky,27.95,80.7667,Hotel Sarna
178,Ahipara,NZ,72.68,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
180,Biltine,TD,73.49,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
181,Gwadar,PK,71.8,clear sky,25.1216,62.3254,Sadaf Resort
182,Riyadh,SA,66.34,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
183,Lalmohan,BD,73.92,clear sky,22.3384,90.7419,Sundorbon courier service
186,Kaitangata,NZ,58.73,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
187,Diffa,NE,75.0,clear sky,13.3154,12.6113,ProDAF/Diffa
189,Pontal Do Parana,BR,70.74,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
190,Vila Velha,BR,71.55,mist,-20.3297,-40.2925,Quality Suites Vila Velha
191,Puerto Ayora,EC,69.24,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
192,Constantine,DZ,51.21,broken clouds,36.365,6.6147,Grand Hotel Cirta
194,East London,ZA,63.28,light rain,-33.0153,27.9116,Tu Casa
