City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,56.32,83,100,13.0,light rain
1,Kodiak,US,57.79,-152.4072,35.11,75,90,13.8,light snow
2,Ushuaia,AR,-54.8,-68.3,33.46,93,90,20.71,heavy snow
3,East Wenatchee Bench,US,47.4257,-120.2812,39.42,90,20,8.05,few clouds
4,Busselton,AU,-33.65,115.3333,76.08,41,100,7.56,overcast clouds
5,Airai,TL,-8.9266,125.4092,76.42,56,70,1.57,broken clouds
6,Lebu,CL,-37.6167,-73.65,53.08,91,14,17.63,few clouds
7,Faanui,PF,-16.4833,-151.75,80.26,74,10,15.57,clear sky
8,Yellowknife,CA,62.456,-114.3525,-1.71,91,20,5.75,few clouds
9,Leningradskiy,RU,69.3833,178.4167,-12.48,87,5,3.11,clear sky
10,Yar-Sale,RU,66.8333,70.8333,8.55,95,100,16.35,light snow
11,Nome,US,64.5011,-165.4064,10.47,57,1,9.22,clear sky
12,Tuktoyaktuk,CA,69.4541,-133.0374,0.93,92,100,3.02,overcast clouds
13,Hilo,US,19.7297,-155.09,80.33,81,90,11.5,overcast clouds
14,Altay,CN,47.8667,88.1167,12.83,58,1,7.23,clear sky
15,Talara,PE,-4.5772,-81.2719,65.16,88,0,16.11,clear sky
16,Butaritari,KI,3.0707,172.7902,81.63,69,100,12.59,overcast clouds
17,Cap Malheureux,MU,-19.9842,57.6142,75.47,71,0,3.0,clear sky
18,Kapaa,US,22.0752,-159.319,82.72,72,1,1.01,clear sky
19,Jamestown,US,42.097,-79.2353,42.39,59,90,3.0,overcast clouds
20,Cidreira,BR,-30.1811,-50.2056,65.32,76,0,16.08,clear sky
21,Iqaluit,CA,63.7506,-68.5145,10.13,78,90,10.0,light snow
22,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,14.97,scattered clouds
23,Beringovskiy,RU,63.05,179.3167,0.3,95,57,9.51,broken clouds
24,Pangnirtung,CA,66.1451,-65.7125,6.62,90,89,2.86,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,64.11,66,0,6.91,clear sky
26,Barrow,US,71.2906,-156.7887,1.42,85,20,11.5,haze
27,Avarua,CK,-21.2078,-159.775,80.65,69,40,17.27,scattered clouds
28,Waterfoot,GB,53.6929,-2.2525,44.94,92,1,1.99,clear sky
29,Mar Del Plata,AR,-38.0023,-57.5575,75.22,41,0,12.66,clear sky
30,Avera,US,33.194,-82.5271,53.47,54,10,6.91,clear sky
31,Rikitea,PF,-23.1203,-134.9692,73.96,58,30,3.15,scattered clouds
32,Thompson,CA,55.7435,-97.8558,14.16,73,75,11.5,light snow
33,Kudat,MY,6.8837,116.8477,84.29,84,20,5.75,few clouds
34,Iwakuni,JP,34.15,132.1833,60.31,62,75,5.75,broken clouds
35,Coos Bay,US,43.3665,-124.2179,47.14,88,1,8.05,clear sky
36,Kalmar,SE,56.6616,16.3616,44.53,99,75,4.61,moderate rain
37,Nhulunbuy,AU,-12.2333,136.7667,90.21,48,14,10.36,few clouds
38,Paciran,ID,-6.8767,112.3761,84.4,70,85,2.71,overcast clouds
39,Mackenzie,CA,55.2999,-123.1698,17.82,93,90,3.44,light snow
40,Vanavara,RU,60.34,102.2797,-8.09,99,100,2.89,overcast clouds
41,Mana,GF,5.6592,-53.7767,78.06,90,80,8.3,broken clouds
42,Souillac,MU,-20.5167,57.5167,75.36,73,75,3.44,broken clouds
43,Tiksi,RU,71.6872,128.8694,-7.58,91,100,6.82,overcast clouds
44,Yerbogachen,RU,61.2767,108.0108,-1.1,93,100,2.46,overcast clouds
45,Turukhansk,RU,65.8167,87.9833,-10.26,80,100,18.77,overcast clouds
46,Mahebourg,MU,-20.4081,57.7,75.25,73,75,3.44,broken clouds
47,Nikolskoye,RU,59.7035,30.7861,35.49,89,96,6.71,overcast clouds
48,New Norfolk,AU,-42.7826,147.0587,64.89,38,21,2.93,few clouds
49,Bundi,IN,25.4417,75.6417,65.98,85,2,3.85,clear sky
50,Husavik,IS,66.0449,-17.3389,21.11,80,100,12.97,overcast clouds
51,Pisco,PE,-13.7,-76.2167,64.45,82,0,12.66,clear sky
52,Grand Gaube,MU,-20.0064,57.6608,75.38,71,1,3.0,clear sky
53,Aklavik,CA,68.2191,-135.0107,0.43,93,100,4.47,overcast clouds
54,San Patricio,US,28.017,-97.5169,75.18,84,0,9.19,clear sky
55,Conde,BR,-7.2597,-34.9075,78.26,83,20,4.61,few clouds
56,Qaanaaq,GL,77.484,-69.3632,-8.72,72,0,6.89,clear sky
57,Codrington,AU,-38.2667,141.9667,60.48,60,38,12.64,scattered clouds
58,Beloha,MG,-25.1667,45.05,71.17,86,94,8.86,overcast clouds
59,Hualmay,PE,-11.0964,-77.6139,65.05,83,79,9.22,broken clouds
60,Georgetown,MY,5.4112,100.3354,82.89,87,20,1.01,few clouds
61,Saskylakh,RU,71.9167,114.0833,-16.49,97,99,4.56,overcast clouds
62,Castro,BR,-24.7911,-50.0119,55.51,98,16,7.11,few clouds
63,Bataipora,BR,-22.2953,-53.2711,71.1,75,0,1.79,clear sky
64,Cherskiy,RU,68.75,161.3,-21.87,99,98,1.41,overcast clouds
65,Ginda,IN,30.6945,78.4932,46.9,24,0,8.1,clear sky
66,Mataura,NZ,-46.1927,168.8643,61.14,73,100,5.75,light rain
67,Omboue,GA,-1.5746,9.2618,74.16,97,100,4.85,moderate rain
68,Tucuman,AR,-26.8241,-65.2226,78.8,50,40,2.3,scattered clouds
69,Batagay,RU,67.6333,134.6333,-19.37,100,99,1.32,overcast clouds
70,Caravelas,BR,-17.7125,-39.2481,73.92,95,100,2.59,overcast clouds
71,Muros,ES,42.7762,-9.0603,56.23,91,71,7.2,broken clouds
72,Barra Do Corda,BR,-5.5,-45.25,77.02,80,8,4.61,clear sky
73,Albany,US,42.6001,-73.9662,40.8,61,100,5.39,overcast clouds
74,Salvador,SV,13.8333,-88.9167,72.0,77,78,3.02,broken clouds
